Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date
39,94,72,2,1,54.16,3,caught,3,,v West Indies,Bridgetown,12-Jun-08
123,331,243,13,0,50.61,3,lbw,1,,v India,Bangalore,9-Oct-08
17,50,34,2,0,50,3,caught,3,,v India,Bangalore,9-Oct-08
5,35,23,1,0,21.73,3,lbw,2,,v India,Mohali,17-Oct-08
2,16,11,0,0,18.18,3,bowled,4,,v India,Mohali,17-Oct-08
87,224,165,14,0,52.72,3,bowled,2,,v India,Delhi,29-Oct-08
DNB,-,-,-,-,-,-,-,4,,v India,Delhi,29-Oct-08
24,45,41,3,0,58.53,3,bowled,2,,v India,Nagpur,6-Nov-08
8,7,6,2,0,133.33,3,run out,4,,v India,Nagpur,6-Nov-08
4,14,8,1,0,50,3,caught,1,,v New Zealand,Brisbane,20-Nov-08
17,35,26,0,0,65.38,3,caught,3,,v New Zealand,Brisbane,20-Nov-08
79,151,124,13,0,63.7,3,caught,2,,v New Zealand,Adelaide,28-Nov-08
0,1,1,0,0,0,3,caught,1,,v South Africa,Perth,17-Dec-08
32,82,55,4,0,58.18,3,caught,3,,v South Africa,Perth,17-Dec-08
101,197,126,10,1,80.15,3,caught,1,,v South Africa,Melbourne,26-Dec-08
99,257,169,7,0,58.57,3,caught,3,,v South Africa,Melbourne,26-Dec-08
0,2,1,0,0,0,3,caught,1,,v South Africa,Sydney,3-Jan-09
53,67,57,9,0,92.98,3,bowled,3,,v South Africa,Sydney,3-Jan-09
83,188,134,11,1,61.94,3,bowled,1,,v South Africa,Johannesburg,26-Feb-09
25,72,44,4,0,56.81,3,caught,3,,v South Africa,Johannesburg,26-Feb-09
9,36,20,1,0,45,3,caught,1,,v South Africa,Durban,6-Mar-09
81,189,106,12,0,76.41,3,caught,3,,v South Africa,Durban,6-Mar-09
0,6,6,0,0,0,3,caught,1,,v South Africa,Cape Town,19-Mar-09
12,35,24,1,0,50,3,caught,3,,v South Africa,Cape Town,19-Mar-09
150,313,224,14,1,66.96,3,bowled,2,,v England,Cardiff,8-Jul-09
2,19,15,0,0,13.33,3,caught,2,,v England,Lord's,16-Jul-09
38,88,69,6,0,55.07,3,bowled,4,,v England,Lord's,16-Jul-09
